text_raw,text,label_raw,label,label_id,split
"Testeran Batch 2 proyek jualan kopi literan gengs, paling kanan kopi susu arennya.

rasanya mantap, lidah macam ditongkrongin kingkong—berat. 

bawaanya pengen ngerokok kalo perokok mah

InshaAllah paling cepet akhir bulan ini udh bisa jualan via online, doain yak","testeran batch 2 proyek jualan kopi literan gengs, paling kanan kopi susu arennya. rasanya mantap, lidah macam ditongkrongin kingkong—berat. bawaanya pengen ngerokok kalo perokok mah inshaallah paling cepet akhir bulan ini udh bisa jualan via online, doain yak",Positive,positive,2,train
hadir pula freddy numberi tokoh masyarakat papua komarudin watubun anggota komisi ii dpr brigjen pol dedi prasetyo karopenmas polri pendeta benny giay tokoh masyarakat papua,hadir pula freddy numberi tokoh masyarakat papua komarudin watubun anggota komisi ii dpr brigjen pol dedi prasetyo karopenmas polri pendeta benny giay tokoh masyarakat papua,Neutral,neutral,1,train
"Ga usah pake minta nambah periode cukup sekali gubernur se-Indonesia raya , mengalah prestasi presiden penghutang. Presiden oligarki, sarang mafia and cukong2","ga usah pake minta nambah periode cukup sekali gubernur se-indonesia raya , mengalah prestasi presiden penghutang. presiden oligarki, sarang mafia and cukong2",Negative,negative,0,train
"@askmenfess Swasta yg bagus itu biasanya mahal nder. Nyokap w aja engap2an nguliahin w di gunadarma, i feel bad for her:( Tp alhamdulillah bertahan sampe smt akhir.

Jd ortu pgn ptn karena emg lebih murah dan ya biasanya bisa membesarkan nama, gimana ya bilangnya....... Gitu si intinya.","swasta yg bagus itu biasanya mahal nder. nyokap w aja engap2an nguliahin w di gunadarma, i feel bad for her:( tp alhamdulillah bertahan sampe smt akhir. jd ortu pgn ptn karena emg lebih murah dan ya biasanya bisa membesarkan nama, gimana ya bilangnya....... gitu si intinya.",Negative,negative,0,train
Kota Bandung ini viewnya emang keren bgt lah :),kota bandung ini viewnya emang keren bgt lah :),Positive,positive,2,train
apik tenan kalo ngeliat ini tiba2 vibesnya berasa di film passion of the Christ wkwkwkw ntah kenapa pertama kali langsung kebayang itu.. yg pas scnene awal malam2 mulai dri doa sampe penangkapan..,apik tenan kalo ngeliat ini tiba2 vibesnya berasa di film passion of the christ wkwkwkw ntah kenapa pertama kali langsung kebayang itu.. yg pas scnene awal malam2 mulai dri doa sampe penangkapan..,Positive,positive,2,train
"Sama. Aku liat di tl foto bianca tos sama bas, jd ingat andin tos sama al","sama. aku liat di tl foto bianca tos sama bas, jd ingat andin tos sama al",Neutral,neutral,1,train
pelayanane luwih istimewa,pelayanane luwih istimewa,Positive,positive,2,train
"hasil e iki kurang memuaskan -,- untung aku dudu kordinator e dadi ra kenek protes deh .","hasil e iki kurang memuaskan -,- untung aku dudu kordinator e dadi ra kenek protes deh .",Negative,negative,0,train
"Happy new year si, vibesnya tuh nyenengin bgt lagu dance nya juga dikemas dengan apik dan cast nya juga no kaleng2","happy new year si, vibesnya tuh nyenengin bgt lagu dance nya juga dikemas dengan apik dan cast nya juga no kaleng2",Positive,positive,2,train
@hnksstraa Eh lha piye wong blender murah😩 tuku pas dadakan kanggo KKN mbiyen. Regane mung 100K wkwk,eh lha piye wong blender murah😩 tuku pas dadakan kanggo kkn mbiyen. regane mung 100k wkwk,Positive,positive,2,train
wanita tewas dalam mobil polisi belum bisa pastikan kasus pembunuhan,wanita tewas dalam mobil polisi belum bisa pastikan kasus pembunuhan,Neutral,neutral,1,train
"Gubernur Jakarta emang the best,,,","gubernur jakarta emang the best,,,",Positive,positive,2,train
"Lagi nunggu jemputan di stasiun gubeng surabaya eh ngeliat mbak2 didropzone, awalnya ngira prami kereta soalnya groomingnya cantik bgt dan mbknya ramah kesemua orang, ternyata ngatur mobil yg lg ngedrop
Emang pelayanan kai gabisa diragukan sihh👍🏻👍🏻🥰
The best 
@KAI121
 
@RMU_ID","lagi nunggu jemputan di stasiun gubeng surabaya eh ngeliat mbak2 didropzone, awalnya ngira prami kereta soalnya groomingnya cantik bgt dan mbknya ramah kesemua orang, ternyata ngatur mobil yg lg ngedrop emang pelayanan kai gabisa diragukan sihh👍🏻👍🏻🥰 the best",Positive,positive,2,train
